subject,roi,fold,di,dj,SIM
subj04,ventral,2,1,2,0.41412120395241786
subj04,ventral,2,1,3,0.42444294805665983
subj04,ventral,2,1,4,0.32065561017084393
subj04,ventral,2,1,5,0.3461483849294427
subj04,ventral,2,1,6,0.38853201869027787
subj04,ventral,2,2,3,0.38104876303300816
subj04,ventral,2,2,4,0.31235866699625214
subj04,ventral,2,2,5,0.31474226304714265
subj04,ventral,2,2,6,0.3750212299091193
subj04,ventral,2,3,4,0.3056475550429727
subj04,ventral,2,3,5,0.3217353341870781
subj04,ventral,2,3,6,0.37330929936965945
subj04,ventral,2,4,5,0.2869185970495279
subj04,ventral,2,4,6,0.30036937563397403
subj04,ventral,2,5,6,0.330461858584086
subj04,ventral,3,0,1,0.3660859775753391
subj04,ventral,3,0,2,0.3631852959030897
subj04,ventral,3,0,3,0.3856347810421705
subj04,ventral,3,0,4,0.3087560705661265
subj04,ventral,3,0,5,0.3395504305783928
subj04,ventral,3,0,6,0.366225498684045
subj04,ventral,3,1,2,0.3550790311157086
subj04,ventral,3,1,3,0.37692412289421034
subj04,ventral,3,1,4,0.311208004489025
subj04,ventral,3,1,5,0.32769826162783094
subj04,ventral,3,1,6,0.37138708119705904
subj04,ventral,3,2,3,0.3957206915412322
subj04,ventral,3,2,4,0.35342673299030397
subj04,ventral,3,2,5,0.31837224946480736
subj04,ventral,3,2,6,0.3984358546508286
subj04,ventral,3,3,4,0.35283908789254514
subj04,ventral,3,3,5,0.3242651293295384
subj04,ventral,3,3,6,0.3941586233514635
subj04,ventral,3,4,5,0.28108129790707537
subj04,ventral,3,4,6,0.292903869477228
subj04,ventral,3,5,6,0.32655881158305256
subj04,ventral,4,0,1,0.3723544172838229
subj04,ventral,4,0,2,0.3811682437956172
subj04,ventral,4,0,3,0.3579051370661501
subj04,ventral,4,0,4,0.2985574438068831
subj04,ventral,4,0,5,0.32320679825762594
subj04,ventral,4,0,6,0.3503487443988509
subj04,ventral,4,1,2,0.35302799719371825
subj04,ventral,4,1,3,0.3487198832582557
subj04,ventral,4,1,4,0.3059953428575101
subj04,ventral,4,1,5,0.3532079113254718
subj04,ventral,4,1,6,0.37544028476341146
subj04,ventral,4,2,3,0.3933058068408211
subj04,ventral,4,2,4,0.31680609951820776
subj04,ventral,4,2,5,0.3364681402547544
subj04,ventral,4,2,6,0.38022954755489513
subj04,ventral,4,3,4,0.32490207761676704
subj04,ventral,4,3,5,0.34342663578304194
subj04,ventral,4,3,6,0.3550915564337716
subj04,ventral,4,4,5,0.2830558819822932
subj04,ventral,4,4,6,0.3098444473436364
subj04,ventral,4,5,6,0.3234110535619503
subj04,ventral,5,0,1,0.37649331870093344
subj04,ventral,5,0,2,0.3928162816104872
subj04,ventral,5,0,3,0.342882570931428
subj04,ventral,5,0,4,0.3299962129642335
subj04,ventral,5,0,5,0.3388630032380699
subj04,ventral,5,0,6,0.32352548392086533
subj04,ventral,5,1,2,0.3671916223024662
subj04,ventral,5,1,3,0.33496358019971634
subj04,ventral,5,1,4,0.30024583251714293
subj04,ventral,5,1,5,0.27736414032693407
subj04,ventral,5,1,6,0.3530919036519502
subj04,ventral,5,2,3,0.3769133859268545
subj04,ventral,5,2,4,0.3769144355183731
subj04,ventral,5,2,5,0.3371946152205605
subj04,ventral,5,2,6,0.3721900581205162
subj04,ventral,5,3,4,0.3489834549325394
subj04,ventral,5,3,5,0.3235697635612783
subj04,ventral,5,3,6,0.3490142516756441
subj04,ventral,5,4,5,0.30680456994146377
subj04,ventral,5,4,6,0.3125236998013014
subj04,ventral,5,5,6,0.31864960911775353
subj05,ventral,0,0,1,0.32118865730951174
subj05,ventral,0,0,2,0.3468226184101571
subj05,ventral,0,0,3,0.35066280498320496
subj05,ventral,0,0,4,0.2793726625233995
subj05,ventral,0,0,5,0.2836860847129176
subj05,ventral,0,0,6,0.30514937549350934
subj05,ventral,0,1,2,0.3457625955101295
subj05,ventral,0,1,3,0.36004496432592853
subj05,ventral,0,1,4,0.31948374182198935
subj05,ventral,0,1,5,0.3185837038446394
subj05,ventral,0,1,6,0.32121790282909696
subj05,ventral,0,2,3,0.3795000072142531
subj05,ventral,0,2,4,0.3341250712368997
subj05,ventral,0,2,5,0.33663404312298506
subj05,ventral,0,2,6,0.3561278557049253
subj05,ventral,0,3,4,0.3255640599776733
subj05,ventral,0,3,5,0.3175459806239487
subj05,ventral,0,3,6,0.3358163668122514
subj05,ventral,0,4,5,0.2843246601046296
subj05,ventral,0,4,6,0.27587575224694844
subj05,ventral,0,5,6,0.3031964930289548
subj05,ventral,1,0,1,0.4023197822609063
subj05,ventral,1,0,2,0.40017988266611515
subj05,ventral,1,0,3,0.38084817933780063
subj05,ventral,1,0,4,0.34210914201934406
subj05,ventral,1,0,5,0.3287913362408432
subj05,ventral,1,0,6,0.33683146967180905
subj05,ventral,1,1,2,0.3902100023717611
subj05,ventral,1,1,3,0.38367590048097444
subj05,ventral,1,1,4,0.32041794572094173
subj05,ventral,1,1,5,0.3502508647530429
subj05,ventral,1,1,6,0.38276561904185485
subj05,ventral,1,2,3,0.3971094888929376
subj05,ventral,1,2,4,0.3635421213950423
subj05,ventral,1,2,5,0.3501535082729959
subj05,ventral,1,2,6,0.3660514076963069
subj05,ventral,1,3,4,0.3558632099310309
subj05,ventral,1,3,5,0.3304538108749448
subj05,ventral,1,3,6,0.36461847618303217
subj05,ventral,1,4,5,0.3141622820252745
subj05,ventral,1,4,6,0.30209863831062617
subj05,ventral,1,5,6,0.2973066375655979
subj05,ventral,2,0,1,0.35912309024927697
subj05,ventral,2,0,2,0.36543253040646634
subj05,ventral,2,0,3,0.3525485470571785
subj05,ventral,2,0,4,0.27120879896577627
subj05,ventral,2,0,5,0.28622569235626
subj05,ventral,2,0,6,0.3457392871885638
subj05,ventral,2,1,2,0.41412120395241786
subj05,ventral,2,1,3,0.4282963014418548
subj05,ventral,2,1,4,0.32065561017084393
subj05,ventral,2,1,5,0.3461483849294427
subj05,ventral,2,1,6,0.38853201869027787
subj05,ventral,2,2,3,0.36968503500881494
subj05,ventral,2,2,4,0.31235866699625214
subj05,ventral,2,2,5,0.31474226304714265
subj05,ventral,2,2,6,0.3750212299091193
subj05,ventral,2,3,4,0.3364555328287118
subj05,ventral,2,3,5,0.33909603178067743
subj05,ventral,2,3,6,0.405624477414739
subj05,ventral,2,4,5,0.2869185970495279
subj05,ventral,2,4,6,0.30036937563397403
subj05,ventral,2,5,6,0.330461858584086
subj05,ventral,3,0,1,0.3660859775753391
subj05,ventral,3,0,2,0.3631852959030897
subj05,ventral,3,0,3,0.38788605767516904
subj05,ventral,3,0,4,0.3087560705661265
subj05,ventral,3,0,5,0.3395504305783928
subj05,ventral,3,0,6,0.366225498684045
subj05,ventral,3,1,2,0.3550790311157086
subj05,ventral,3,1,3,0.3547293164948737
subj05,ventral,3,1,4,0.311208004489025
subj05,ventral,3,1,5,0.32769826162783094
subj05,ventral,3,1,6,0.37138708119705904
subj05,ventral,3,2,3,0.3742690207345866
subj05,ventral,3,2,4,0.35342673299030397
subj05,ventral,3,2,5,0.31837224946480736
subj05,ventral,3,2,6,0.3984358546508286
subj05,ventral,3,3,4,0.3388895219138741
subj05,ventral,3,3,5,0.32277549244080633
subj05,ventral,3,3,6,0.35872561251351126
subj05,ventral,3,4,5,0.28108129790707537
subj05,ventral,3,4,6,0.292903869477228
subj05,ventral,3,5,6,0.32655881158305256
subj05,ventral,4,0,1,0.3723544172838229
subj05,ventral,4,0,2,0.3811682437956172
subj05,ventral,4,0,3,0.38537035542914966
subj05,ventral,4,0,4,0.2985574438068831
subj05,ventral,4,0,5,0.32320679825762594
subj05,ventral,4,0,6,0.3503487443988509
subj05,ventral,4,1,2,0.35302799719371825
subj05,ventral,4,1,3,0.387787222320971
subj05,ventral,4,1,4,0.3059953428575101
subj05,ventral,4,1,5,0.3532079113254718
subj05,ventral,4,1,6,0.37544028476341146
subj05,ventral,4,2,3,0.38555640016413933
subj05,ventral,4,2,4,0.31680609951820776
subj05,ventral,4,2,5,0.3364681402547544
subj05,ventral,4,2,6,0.38022954755489513
subj05,ventral,4,3,4,0.3065466572060182
subj05,ventral,4,3,5,0.30916944535758933
subj05,ventral,4,3,6,0.3675307808477835
